title,field
The Way to Increase the Motor and Sport Competence Among Children: The Contextualized Sport Alphabetization Model,Psychology
Computer Vision for Protein-protein Docking,"Biochemistry, Genetics and Molecular Biology"
Georg Simmel’s “How Is Society Possible?”: A Dialogue,Social Sciences
Causal topology and non-material causes,Computer Science
Effects of active smoking on postoperative outcomes in hospitalised patients undergoing elective surgery: a retrospective analysis of an administrative claims database in Japan,Medicine
COVID-19: Travel health and the implications for sub -Saharan Africa,Mathematics
EXPLORING AWARENESS AND ATTITUDES OF NURSES TOWARDS HERBAL MEDICINE USE DURING PREGNANCY AND BREASTFEEDING,Medicine
Appendix B Distribution Function of the Standard Normal Distribution,Mathematics
Development and Control of a Switched Capacitor Multilevel Inverter,Engineering
"Detecting the Interaction of Double-stranded RNA Binding Protein, Viral Protein and Primary miRNA Transcript by Co-immunoprecipitation in planta",Agricultural and Biological Sciences
Tozinameran,Medicine
Between expert and student perspectives: on the intersection of affect and heuristic-didactic discourse in the undergraduate classroom,Social Sciences
Abbreviated San Diego Wisdom Scale (SD-WISE-7) and Jeste-Thomas Wisdom Index (JTWI) – CORRIGENDUM,Psychology
Policing During the Time of Corona: The Indian Context,Social Sciences
Anomaly Detection in QAR Data Using VAE-LSTM with Multihead Self-Attention Mechanism,Computer Science
Predicting hERG channel blockers with directed message passing neural networks,Computer Science
THE COVID- 19 VACCINATION: AUTOIMMUNE PHENOMENON ALOPECIA AREATA,
In vitro and in silico analysis of cucumber (Cucumis sativus L.) mesocarp powder as pancreatic lipase and α-amylase inhibitor,Medicine
Estimating local outbreak risks and the effects of non-pharmaceutical interventions in age-structured populations: SARS-CoV-2 as a case study,Mathematics
The Implementation of Problem Based Learning (PBL) with Two Stay Two Stray (TSTS) to Increase Motivation and Learning Outcomes on Environmental Change Material for Class X-5 SMA Negeri 11 Semarang for the 2022/2023 Academic Year,Social Sciences
SIVA-1 regulates apoptosis and synaptic function by modulating XIAP interaction with the death receptor antagonist FAIM-L,"Biochemistry, Genetics and Molecular Biology"
A Model to Identify the Potential Target for Leveraged Buyout,"Business, Management and Accounting"
Predictors of Bullying and Victimisation in Children with Attention-Deficit/Hyperactivity Disorder,Psychology
Computer-Aided Interaction of Visual Communication Technology and Art in New Media Scenes,Computer Science
"Correction to: Wave intensity, an index of ventriculo-arterial interaction, increases in hypertensive subjects but decreases in normotensive subjects during the cold pressor test",Medicine
Effects of periodontal clinical database software in resident training during COVID-19 pandemic: a prospective observational study,Dentistry
Prevalence of traumatic dental injuries among 5–16-year-old children and knowledge of teachers in the management of traumatic dental injuries,Health Professions
Model design of automatic defective product sorting system,Engineering
Rodent models of hypertension,Nursing
A Study on Smoothed Particle Hydrodynamics for Liquid Metal Flow Simulation,Engineering
Subcellular expression of maspin – from normal tissue to tumor cells,"Biochemistry, Genetics and Molecular Biology"
Land Consolidation as an Example of Local Social Activity Leading to the Sustainable Rural Development,Agricultural and Biological Sciences
Soft palate mass: An unusual case,Dentistry
Physical-Layer Security in Cache-Enabled Cooperative Small Cell Networks Against Randomly Distributed Eavesdroppers,Computer Science
Comparative Evaluation of Coated Carbide and CBN Inserts Performance in Dry Hard-Turning of AISI 4140 Steel Using Taguchi-Based Grey Relation Analysis,Engineering
"DIAGNOSING POST PARTURIENT HEMOGLOBINURIA IN GOAT ON THE BASIS OF HEMATOLOGY, SERUM BIOCHEMISTRY AND TREATMENT RESPONSE",Medicine
Post-operative complications of penetrating corneal keratoplasty in patients with anterior segment toxic syndrome secondary to cataract surgery,Medicine
Heat maps of cardiovascular disease risk factor clustering among community-dwelling older people in Xinjiang: a cross-sectional study,Medicine
Determining Irrigation Depths for Soybean Using a Simulation Model of Water Flow and Plant Growth and Weather Forecasts,Agricultural and Biological Sciences
Prediction of Critical pH for Fines Migration Pre and Post Nanofluid Treatment in Sandstone Reservoirs using the DLVO Modelling,Engineering
"Legacy of land-cover changes on soil microbiology in Burgundy vineyards (Pernand-Vergelesses, France)",Agricultural and Biological Sciences
Lock-In Effects on the Energy Sector: Evidence from Hydrogen Patenting Activities,"Economics, Econometrics and Finance"
"Loneliness, Mental Health, and Substance Use among US Young Adults during COVID-19",Psychology
"Mineralogical, Textural and Physical Characterisation to Determine Deterioration Susceptibility of Irulegi Castle Lime Mortars (Navarre, Spain)",Earth and Planetary Sciences
Correction to: Physiologic Lesion Assessment to Optimize Multivessel Disease,Medicine
Novel group 14 element-bridged bithiophene dimers appended with terminal electron-withdrawing groups: Red-to-near infrared fluorescence and efficient photosensitized singlet oxygen generation,Engineering
Success in conserving the bird diversity in tropical forests through private protected areas in Western Ecuador,Environmental Science
Nonlinear Static Bending and Free Vibration Analysis of Bidirectional Functionally Graded Material Plates,Engineering
The Clay Minerals Society,Materials Science
Strongly asymmetric wavelength dependence of optical gain in nanocavity-based Raman silicon lasers,Engineering
Novel Antibiofilm Inhibitor Ginkgetin as an Antibacterial Synergist against Escherichia coli,"Biochemistry, Genetics and Molecular Biology"
Academic Motivation Levels of Secondary School Students and Their Attitudes Towards a Social Studies Course,Social Sciences
How Acts of Infidelity Promote DNA Break Repair: Collision and Collusion Between DNA Repair and Transcription,"Biochemistry, Genetics and Molecular Biology"
Ultrasound-guided percutaneous embolization of post renal biopsy gonadal artery pseudoaneurysm,Medicine
"Antimicrobial activity and phytochemical constituents of Bruguiera gymnorrhiza fruit collected from Indian Sundarbans, the designated World Heritage Site",Agricultural and Biological Sciences
A Green Treatment Mitigates the Limitations of Coffee Silver Skin as a Filler for PLA/PBSA Compatibilized Biocomposites,Materials Science
A global perspective on party organizations. Validating the Varieties of Party Identity and Organization Dataset (V-Party),Social Sciences
The Reading Circle in the Tomsk Province in the Second Half of the 19th — Early 20th Centuries,Computer Science
Risk factors and protective factors of suicidal behavior in people diagnosed with depression,Psychology
Pulmonary arterial hypertension in connective tissue disorders: Pathophysiology and treatment,Medicine
CONCEPTUAL STUDY OF DHOOPANA KARMA ACCORDING TO AYURVEDA.,Medicine
"MACHINE LEARNING IN CYBER-PHYSICAL SYSTEMS AND MANUFACTURING SINGULARITY – IT DOES NOT MEAN TOTAL AUTOMATION, HUMAN IS STILL IN THE CENTRE: Part I – MANUFACTURING SINGULARITY AND AN INTELLIGENT MACHINE ARCHITECTURE",Engineering
An Investigation of Harmonic Oscillation of an Ion Particle in a Non-uniform Electrostatic Field,Physics and Astronomy
ERAS journey: an abridged account for the busy practitioner,Medicine
Carbon monoxide ameliorates acetaminophen‐induced liver injury by increasing hepatic HO‐1 and Parkin expression,"Biochemistry, Genetics and Molecular Biology"
Safety measures and clinical outcome of Nuclear Cardiology Department during Covid-19 lockdown pandemic: Northern Italy experience,Medicine
2672. Understanding the Barriers to Sexual Health in Middle Eastern Immigrant Women,Health Professions
Synthesis and PAMPA Permeability Assay of New Sulfonyl Hydrazone Derivatives,"Biochemistry, Genetics and Molecular Biology"
Study of Morphological Qualitative and Quantitative Characterization of Different Traits in Tomato (Solanum lycopersicum L.) Genotypes,Agricultural and Biological Sciences
Culturally Affirming Clinical Supervision in Graduate Field Education: Enhancing Transformative Dialogue in the Supervisory Dyad,Psychology
A computational theory of the subjective experience of flow,Psychology
Delay-induced instability in phase-locked dual-polarization distributed-feedback fiber lasers,Physics and Astronomy
Identification method of cashmere and wool based on texture features of GLCM and Gabor,Engineering
Convolutional Neural Network for Drowsiness Detection Using EEG Signals,Psychology
Pathwise Estimates for Effective Dynamics: The Case of Nonlinear Vectorial Reaction Coordinates,Physics and Astronomy
A case of malignant peritoneal mesothelioma as a rare cause of autoimmune haemolytic anaemia,Medicine
A note on Fourier eigenfunctions in four dimensions,Mathematics
Investigation and Analysis of Parasitic Characteristics of &lt;i&gt;Taxillus thibetensis&lt;/i&gt; in Kunming Haikou Forest Farm,Agricultural and Biological Sciences
The role of international reserves on real exchange rate: a panel data analysis,"Economics, Econometrics and Finance"
Wnt pathway activator delivery by poly (lactide-co-glycolide)/silk fibroin composite nanofibers promotes dental pulp stem cell osteogenesis,Engineering
Relationships and identity fusion: Understanding antecedents of employees' megaphoning behaviours in response to corporate misconduct‐related crises,Social Sciences
New Forms of Likelihood Ratio Test for SAR Change Detection,Engineering
,Medicine
"Less Fragmented Than We Thought? Toward Clarification of a Subdisciplinary Linkage in Communication Science, 2010–2019",Social Sciences
New Thinking of Wealth Management Under Civil Code Implementation - Based on Family Risk Identification and Legal Protection,Social Sciences
IMMUNOADSORPTION IN NONISCHEMIC CARDIOMYOPATHY - INSIGHTS FROM A REAL-WORLD CLINICAL SCENARIO,Medicine
Nested Metal Catalysts: Metal Atoms and Clusters Stabilized by Confinement with Accessibility on Supports,Materials Science
"Assessing the Private Sector and Civil Society Engagement in Poliomyelitis Myelitis Vaccination among Internally Displaced People in Khartoum State, 2019",Social Sciences
Governing regional affordability: rethinking the production of affordable spaces across the Metropolitan Region Amsterdam (MRA),"Economics, Econometrics and Finance"
Management of Hepatic Hydatid Disease - Current Surgical Practice,Medicine
The Hausdorff dimension of the Julia sets concerning generated renormalization transformation,Mathematics
Complete genome sequence of the kiwifruit bacterial canker pathogen Pseudomonas savastanoi strain MHT1,Agricultural and Biological Sciences
Ludwik Wołowski and His Contribution to the French Credit Revolution of the 19th Century,"Economics, Econometrics and Finance"
Shifting Punishment on Minorities: Experimental Evidence of Scapegoating,Social Sciences
Environmental Education in Grammar Learning Process for Junior High School students by using Multifunctional English Learning Media (MELDe),Computer Science
Specific Antibodies for Coeliac Disease in Patients with Crohn’s Disease in Two University Centers in Poland,Medicine
Surgical Treatment of Secondary Hyperparathyroidism at Ectopic Parathyroid Gland in Anterior-Superior Mediastinum (Literature Review and Clinical Case),Medicine
Student tutoring: Language Observations and Schedule for ESL That Immigrated at A Young Age,Arts and Humanities
Future of Cancer Immunotherapy using Plant virus-based Nanoparticles,"Biochemistry, Genetics and Molecular Biology"
“Going through it together”: Being accompanied by loved ones during birth and abortion,Medicine
Unam Wena (Mthunzikazi A. Mbungwana),Social Sciences
fMRI Study on the Functional Connectivity of Nucleus Accumbens in Patients with Knee Osteoarthritis,Medicine
"PSYCHOLOGICAL FEATURES OF PATIENTS WITH HYPERTENSION IN COMBINATION WITH ISCHEMIC DISEASE, IMPAIRED PURINE METABOLISM AND OBESITY",Medicine
Impact of defects on Auger recombination in <i>c</i>-plane InGaN/GaN single quantum well in the efficiency droop regime,Physics and Astronomy
"A Writer of Hope, Humour, and Resistance: An Interview with Saad Z. Hossain",Social Sciences
End-to-end trajectory concept for close exploration of Saturn’s Inner Large Moons,Physics and Astronomy
Introduction,"Business, Management and Accounting"
Liturgical Mystery in Zviad Gamsakhurdia's Poetry,Arts and Humanities
A conceptual framework for impact of automotive engineering changes in new product development,"Business, Management and Accounting"
Deleuze's reversal of Platonism: Focus on his criticism of anámnesis,Arts and Humanities
Comment to: analysing topics using different methods promotes constructive debates. Author's reply,Medicine
Yield and Growth of Common Bean (&amp;lt;i&amp;gt;Phaseolus vulgaris&amp;lt;/i&amp;gt; L.) Varieties as Influenced by Lime and Phosphorus Under Acid Soil Toxicity of South Western Ethiopia,Agricultural and Biological Sciences
Biological Effect of Lemon Peels Powder on Hyperlipidemic Rats,Agricultural and Biological Sciences
Optimism and Mental Health in Adolescence: a Prospective Validation Study of the Dutch Life-Orientation Test-Revised (LOT-R-A) for Adolescents,Psychology
Understanding the pedagogical content knowledge of teachers in teaching isiZulu reading: a case study of two rural primary schools in KwaZulu-Natal,Arts and Humanities
,
"Phytochemicals Screening, GC/MS Characterization and Antioxidant Activity of Falcataria moluccana Miq. Barneby and J. W. Grimes Methanolic Extract",Agricultural and Biological Sciences
Interaction of magnons with plasmons in a system of antiferromagnetic insulators coupled to a superconductor microwave cavity through interfacial exchange interaction,Physics and Astronomy
"Exploring Homogeneity among Catchments forEfficient Province-wide Watershed Managementin Negros Occidental, Philippines",Environmental Science
Pre-Decoding Recovery Mechanism for Network Coding Opportunistic Routing in Delay Tolerant Networks,Computer Science
Letters,
Research of Factors of Development of Agriculture In Ukraine: Methodical Approach on The Basis of Econometric Modeling,Agricultural and Biological Sciences
Online Business Marketing Strategy in Terms of Discounts and Ease of Transactions on Purchasing Decisions,Social Sciences
A novel dual serotonin transporter and M-channel inhibitor D01 for antidepression and cognitive improvement,"Biochemistry, Genetics and Molecular Biology"
"872. Burden of Influenza Outbreaks in Long-Term Care Facilities in Philadelphia, 2012-2020",
Oral Bacteriotherapy in Patients With COVID-19: A Retrospective Cohort Study,Medicine
M-Emu: A Platform for Multicast Emulation,Computer Science
Thematic Construction of Digital Visual Arts: Implications for Digital Pedagogy,Arts and Humanities
CDKN2A exon 1B deletion predisposing to melanoma and neural system tumour syndrome,Medicine
Integrating Advanced Prognostic Methods for Accurate Remaining Useful Life Prediction in Industrial Systems,Engineering
"Konferencja EOTTD w Berlinie, 5-6.07.2019r.",Medicine
"Genomic Epidemiology of Streptococcus pneumoniae Isolated in a Tertiary Hospital in Beijing, China, from 2018 to 2022",Medicine
"Zirconium catalyzed synthesis of 2-arylidene Indan-1,3-diones and evaluation of their inhibitory activity against NS2B-NS3 WNV protease",Medicine
Heparin Administered to Anopheles in Membrane Feeding Assays Blocks Plasmodium Development in the Mosquito,Medicine
Economic evaluation of sildenafil for the treatment of pulmonary arterial hypertension in Indonesia,Medicine
What Explains the Recent Calls for the Reinstatement of a Tax Considered Unpopular? An Analysis of Graduated Tax in Uganda,Social Sciences
"Glutamate and glutamine transporter genes in grass carp (<i>Ctenopharyngodon idellus</i>): Molecular cloning, characterization and expression in response to different stocking densities",Agricultural and Biological Sciences
Anilinopyridine–metal complexes for the selective chromogenic sensing of cyanide anion,Chemistry
An introduction to key performance indicators for medical physicists,Medicine
"Population dynamics of Agriophyllum squarrosum along an ecosystem restoration chronosequence in the Tengger Desert, China: Indication implications for desertification combating",Environmental Science
P05.01 Personalized Optimization of TCP Using NTCP Based Constraints for Ultracentral Lung Tumors,Medicine
"Mate tea with Lactobacillus probiotics: viability, chemical characterization and in vitro resistance to the gastrointestinal tract",Chemistry
Predicting native Chinese readers’ perception of sentence boundaries in written Chinese texts,Computer Science
Enhancement of Early Childhood 4C Skills with TAMAITO-Peaceful Love and Tolerance Smart Card,Social Sciences
Unlocking the Potential of Older Adult Volunteers: The Intergenerational Leadership Institute Model as a Resource for Bolstering Extension,Social Sciences
Response to: “Regarding ‘Risk Factors for Postoperative Opioid Use in Arthroscopic Meniscal Surgery’”,Medicine
A Novel Epidemiological Approach to Geographically Mapping Population Dry Eye Disease in the United States Through Google Trends,Medicine
A Conflict between Manliness and Motherliness: A Study on Robert Frost’s “Home Burial”,Arts and Humanities
Identification of the Key Pathways and Genes Involved in the Wax Biosynthesis of the Chinese White Wax Scale Insect (Ericerus pela Chavannes) by Integrated Weighted Gene Coexpression Network Analysis,"Biochemistry, Genetics and Molecular Biology"
"Feeding practice of infant and young children and their nutritional status among tea worker community of West Tripura district, India: an observational study",Nursing
The Relationship between Grade-Level and Breakfast Skipping among Adolescents: The Mediating Effects of Dietary Autonomy,Nursing
Optic nerve sheath diameter assessment by neurosonology: A review of methodologic discrepancies,Medicine
BURSA İLİ TARIMSAL KALKINMA KOOPERATİFLERİNDE ORTAK-KOOPERATİF İLİŞKİLERİNİN ANALİZİ,"Business, Management and Accounting"
The COVID-19 Pandemic: New Knowledge on the Impact of Air Quality on the Spread of Coronavirus Infection in Cities,Environmental Science
10 - Strategies and Outcomes of Involving University Students in Community Engagement: An Adaptive Leadership Perspective,Social Sciences
Synthesis and Pharmacological Characterization of Conformationally Restricted Retigabine Analogues as Novel Neuronal Kv7 Channel Activators,"Biochemistry, Genetics and Molecular Biology"
"Pragmatic Hedges in Editorials: A Focus on Vanguard, Guardian and Sun Newspaper Editorials in 2017",Arts and Humanities
A Case of Concomitant Occurrence of Eosinophilic Mucin Rhinosinusitis and Allergic Bronchopulmonary Aspergillosis Managed with Dupilumab after Endoscopic Sinus Surgery,Medicine
Fractional Flow Reserve Evaluated as Metric of Coronary Stenosis — A Mathematical Model Study,Medicine
A Longitudinal Pathway for Clinical Educators: a Case Study,Medicine
"(ملاحظات على نقش الملک ""بيبي الثاني"" في وادي المغارة بسيناء)",
Multi-Objective Location and Mapping Based on Deep Learning and Visual Slam,Engineering
234 Population-based point prevalence of cystic fibrosis liver disease in Utah children,Medicine
A Role for Heme and Iron in Calcific Aortic Valve Disease?,Medicine
The Interest of Adding Micronutrients to Docosahexaenoic Acid Supplementation to Prevent Age-Related Cognitive Decline,Nursing
Genetic Fidelity Study of the in vitro Regenerated Plants in LA Hybrids of Lilium cv. Pavia,"Biochemistry, Genetics and Molecular Biology"
Privacy-Utility Equilibrium Protocol for Federated Aggregating Multiparty Genome Data,Computer Science
Survey of Triangle Security in Cloud,Computer Science
“To Extract from It Some Sort of Beautiful Thing”: The Holocaust in the Families and Fiction of Nava Semel and Etgar Keret,Psychology
Comparative Analyses of Soil Bacterial Colonies of Two Types of Chinese Ginger after a Major Flood Disaster,"Pharmacology, Toxicology and Pharmaceutics"
Monocyte and Macrophage Function Diversity,Immunology and Microbiology
"Food and feeding behaviour of Chestnut-tailed Starling, Sturnia malabarica at Jahangirnagar University Campus, Bangladesh","Biochemistry, Genetics and Molecular Biology"
The Sociability Argument for the Burqa Ban: A Qualified Defence,Social Sciences
"Understanding Black and Minority Ethnic service user's experience of racism as part of the assessment, formulation and treatment of mental health problems in cognitive behaviour therapy",Psychology
"Performance analysis and mentoring strategy of fish farmers groups in Muntilan Sub District, Magelang Regency, Central of Java Province",Agricultural and Biological Sciences
SOCIAL ANOMALIES IN VOLYN IN THE PERIOD OF NEP AND THE FIGHT AGAINST THEM,Social Sciences
Pragmatic cyber physical systems design based on parametric models,Computer Science
A screen for sleep and starvation resistance identifies a wake-promoting role for the auxiliary channel unc79,Neuroscience
Large-volume CdZnTe bar detectors characterized by laser-induced transient currents,Engineering
"Complete mitochondrial characteristics and phylogenetic analysis of <i>Deilephila elpenor</i> (Linnaeus, 1758) (Lepidoptera: Sphingidae)","Biochemistry, Genetics and Molecular Biology"
Exploring the potential role of citizen science in the warning value chain for high impact weather,Environmental Science
NEOINDUSTRIAL PARADIGM OF RESOURCE POTENTIAL,"Economics, Econometrics and Finance"
Stratification of BMI categories among older adults within and across countries,Medicine
A Systematic Review of the Basis for WHO’s New Recommendation for Limiting Aircraft Noise Annoyance,Health Professions
The impact of shear stress on device‐induced platelet hemostatic dysfunction relevant to thrombosis and bleeding in mechanically assisted circulation,Medicine
"Acupuncture Needling, Electroacupuncture, and Fire Needling Improve Imiquimod-Induced Psoriasis-Like Skin Lesions through Reducing Local Inflammatory Responses",Immunology and Microbiology
Human papillomavirus type 18 E5 oncoprotein cooperates with E6 and E7 in promoting cell viability and invasion and in modulating the cellular redox state,Medicine
Carambolaside W Inhibited H1N1 Influenza Virus-Induced Oxidative Stress through STAT-3/BCL-XL Signaling Pathway,Medicine
A case of clear cell odontogenic carcinoma in the midline of the mandible,Dentistry
New iron-based multiferroics with improper ferroelectricity,Materials Science
Fire scenario influence on fire resistance of reinforced concrete frame structure,Engineering
Letter to the editor: Is transjugular intrahepatic portosystemic shunt the best treatment for adults without cirrhosis with extrahepatic portal vein obstruction and portal hypertension?,Medicine
"Melodrama of Migration: Suffering, Performance, and Stardom in Ricardo Lee’s DH: Domestic Helper",Social Sciences
Sub-acute toxicity study on tartrazine in male albino rats,Chemistry
Analysis of Factor Importance of PM&lt;SUB&gt;2.5&lt;/SUB&gt; High Concentration Case Using DNN and Layer-wise Relevance Propagation,Medicine
Non-normal type singular integral-differential equations by Riemann-Hilbert approach,Mathematics
Distortion of Information in Politics: Based on the Work of Paul Ekman &lt;i&gt;Telling Lies&lt;/i&gt;,Social Sciences
The Critical Role and Application of Microbes towards Sustainable Development and Human Wellbeing,"Biochemistry, Genetics and Molecular Biology"
The Impact of Spiritual Leadership on Knowledge-Hiding Behavior: Professional Commitment as the Underlying Mechanism,"Business, Management and Accounting"
Need of Sonography in Vaginal Bleeding in Early Pregnancy; As a Primary Investigation,Medicine
The role of Aboriginal education officers in the context of settler colonial schooling: challenges and possibilities,Social Sciences
Recovery of Quadriceps Strength and Knee Function Using Adjuvant EMG-BF After Primary ACL Reconstruction,Medicine
